price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
2.5679896907872353,1.1565832741089548,1.5060925715908347,1.436584898136151,1.5860749405900276,1,0,0,0,1,1.5796404077184507,1,False,False
2.5679896907872353,1.9250604134101483,1.5060925715908347,4.451753458409073,2.22971667001785,1,0,0,0,1,2.179155743516888,0,False,False
2.5679896907872353,2.424071542826508,0.07109178222544127,1.436584898136151,0.2987914817343836,1,0,1,0,0,1.5796404077184507,1,True,False
2.5679896907872353,1.1965041644622636,1.5060925715908347,1.436584898136151,0.2987914817343836,1,0,1,0,1,2.179155743516888,1,False,False
2.5679896907872353,1.1565832741089548,1.5060925715908347,-0.5735274753791311,0.2987914817343836,1,1,1,0,1,1.5796404077184507,0,False,False
2.5679896907872353,1.1965041644622636,0.07109178222544127,3.4466972716514332,-0.9884919771212606,1,0,1,0,1,1.5796404077184507,1,True,False
2.5679896907872353,1.7354361842319317,1.5060925715908347,3.4466972716514332,2.22971667001785,1,0,0,0,1,1.5796404077184507,1,True,False
2.5679896907872353,2.6935375527113417,2.2235929662735314,3.4466972716514332,0.2987914817343836,1,0,0,0,0,-0.8184209354752977,0,False,True
2.5679896907872353,1.4959108421120793,1.5060925715908347,-0.5735274753791311,0.2987914817343836,1,1,1,0,1,1.5796404077184507,1,False,False
2.5679896907872353,0.3232346879836346,0.07109178222544127,1.436584898136151,2.22971667001785,1,1,0,0,1,0.38060973612157656,1,False,True
2.5679896907872353,2.6935375527113417,0.07109178222544127,-0.5735274753791311,0.2987914817343836,1,0,1,0,1,1.5796404077184507,1,False,False
2.5679896907872353,0.44798747033772446,1.5060925715908347,3.4466972716514332,0.2987914817343836,1,1,1,1,0,1.5796404077184507,0,True,False
2.5679896907872353,0.7224435915167221,1.5060925715908347,1.436584898136151,0.2987914817343836,1,0,0,0,1,0.38060973612157656,1,True,False
2.5679896907872353,-0.7995403532031741,1.5060925715908347,1.436584898136151,0.2987914817343836,1,0,0,1,0,1.5796404077184507,0,False,False
2.5679896907872353,1.3462075032871714,0.07109178222544127,1.436584898136151,0.2987914817343836,1,0,0,0,0,-0.8184209354752977,1,True,False
2.50777033383474,0.44798747033772446,1.5060925715908347,-0.5735274753791311,0.2987914817343836,1,0,1,0,0,1.5796404077184507,0,True,False
2.50777033383474,0.7473941479875401,1.5060925715908347,1.436584898136151,0.2987914817343836,1,1,1,0,1,0.38060973612157656,1,False,True
2.4274778578980802,1.6955152938786229,0.07109178222544127,1.436584898136151,2.22971667001785,1,0,0,0,1,1.5796404077184507,0,False,False
2.3873316199297503,-0.2506281108451787,0.07109178222544127,1.436584898136151,0.2987914817343836,1,1,0,0,1,1.5796404077184507,0,False,False
2.3672585009455855,0.6575721446925954,0.07109178222544127,1.436584898136151,0.2987914817343836,1,0,0,0,1,0.38060973612157656,1,True,False
2.3070391439930904,-0.39035122708175934,0.07109178222544127,-0.5735274753791311,0.2987914817343836,1,0,1,1,0,1.5796404077184507,0,True,False
2.2668929060247605,1.0243453248136196,0.07109178222544127,1.436584898136151,-0.9884919771212606,1,1,1,0,1,1.5796404077184507,0,False,True
2.2468197870405953,1.4709602856412611,0.07109178222544127,-0.5735274753791311,-0.9884919771212606,1,1,1,0,1,0.38060973612157656,0,False,False
2.2468197870405953,-0.27058855602183307,0.07109178222544127,1.436584898136151,0.2987914817343836,1,1,1,0,1,0.38060973612157656,0,False,False
2.2066735490722653,1.8452186327035307,0.07109178222544127,1.436584898136151,0.2987914817343836,1,0,0,0,1,1.5796404077184507,0,False,False
2.1866004300881,0.7174534802225585,1.5060925715908347,1.436584898136151,0.2987914817343836,1,1,1,0,1,1.5796404077184507,1,False,False
2.142439568322937,0.44798747033772446,0.07109178222544127,1.436584898136151,2.22971667001785,1,1,1,0,1,-0.8184209354752977,1,True,False
2.1063079541514402,1.8826444674097578,0.07109178222544127,-0.5735274753791311,-0.9884919771212606,1,0,0,0,0,0.38060973612157656,0,True,False
2.1063079541514402,1.4210591726996253,2.2235929662735314,1.436584898136151,0.2987914817343836,1,0,1,1,0,1.5796404077184507,0,False,True
2.1063079541514402,0.19848190562954476,1.5060925715908347,1.436584898136151,0.2987914817343836,1,0,1,0,1,0.38060973612157656,1,True,False
